,Curse Success Percentage,Curse Success Count,Tournament Appearances (Winning Tournament does not count)
Zhang Anda,38.1,8,21
Ali Carter,54.55,12,22
Mark Selby,47.62,10,21
Judd Trump,56.25,9,16
Gary Wilson,47.62,10,21
John Higgins,42.11,8,19
Ronnie O'Sullivan,75.0,9,12
Chris Wakelin,64.71,11,17
Tom Ford,61.11,11,18
Mark J Williams,41.18,7,17
Hossein Vafaei,43.75,7,16
Noppon Saengkham,43.75,7,16
Ding Junhui,100.0,17,17
Barry Hawkins,36.84,7,19
Zhou Yuelong,41.18,7,17
Luca Brecel,50.0,9,18
Mark Allen,61.9,13,21
Shaun Murphy,45.0,9,20
Jackson Page,50.0,8,16
Neil Robertson,66.67,10,15
Kyren Wilson,53.33,8,15
Elliot Slessor,56.25,9,16
David Lilley,46.67,7,15
Ben Woollaston,43.75,7,16
Daniel Wells,73.33,11,15
Stephen Maguire,78.57,11,14
Fan Zhengyi,46.67,7,15
Dominic Dale,53.85,7,13
Ricky Walden,42.86,6,14
Long Zehuang,73.33,11,15
Wu Yize,31.25,5,16
Matthew Stevens,46.67,7,15
He Guoqiang,46.67,7,15
Lyu Haotian,68.75,11,16
Robert Milkins,66.67,10,15
Joe Perry,53.33,8,15
Yuan Sijun,56.25,9,16
Robbie Williams,73.33,11,15
Sanderson Lam,46.67,7,15
Stuart Carrington,50.0,6,12
Jak Jones,50.0,9,18
David Grace,53.33,8,15
Jamie Jones,50.0,7,14
Si Jiahui,50.0,9,18
Ryan Day,46.67,7,15
Wang Xinbo,60.0,3,5
Aaron Hill,66.67,10,15
Graeme Dott,13.33,2,15
Liu Hongyu,33.33,5,15
Xu Si,43.75,7,16
Tian Pengfei,60.0,9,15
Ishpreet Singh Chadha,53.33,8,15
Louis Heathcote,66.67,10,15
Jordan Brown,60.0,9,15
Pang Junxu,58.82,10,17
Rory Thor,33.33,5,15
Gong Chenzhi,60.0,9,15
David Gilbert,35.71,5,14
Anton Kazakov,70.0,7,10
Dylan Emery,53.33,8,15
Jack Lisowski,43.75,7,16
Marco Fu,54.55,6,11
Scott Donaldson,42.86,6,14
Anthony McGill,53.33,8,15
Jimmy White,66.67,10,15
Ben Mertens,53.33,8,15
Iulian Boiko,33.33,5,15
Baipat Siripaporn,42.86,6,14
Xing Zihao,60.0,9,15
Mark Davis,40.0,6,15
Stan Moody,73.33,11,15
Thepchaiya Un,53.33,8,15
Ross Muir,46.67,7,15
Liam Graham,53.33,8,15
Jiang Jun,40.0,6,15
Julien Leclercq,46.67,7,15
Hammad Miah,40.0,6,15
Andrew Higginson,80.0,12,15
Reanne Evans,57.14,8,14
Allan Taylor,66.67,10,15
Jimmy Robertson,31.25,5,16
Matthew Selt,68.75,11,16
Alfie Burden,6.67,1,15
Haydon Pinhey,33.33,5,15
Ashley Carty,73.33,11,15
Joe O'Connor,46.67,7,15
Ken Doherty,60.0,6,10
Liam Pullen,73.33,11,15
Ian Burns,46.67,7,15
Jamie Clarke,53.33,8,15
Zak Surety,53.33,8,15
Xiao Guodong,80.0,12,15
Martin O'Donnell,46.67,7,15
Andrew Pagett,38.46,5,13
Mink Nutcharut,66.67,10,15
Stuart Bingham,62.5,10,16
Alexander Ursenbacher,71.43,10,14
Ahmed Aly Elsayed,53.33,8,15
Oliver Lines,53.33,8,15
Ma Hailong,60.0,9,15
Anthony Hamilton,46.67,7,15
Mostafa Dorgham,66.67,10,15
Mark Joyce,37.5,3,8
M Phetmalaikul,53.33,8,15
Liam Davies,71.43,10,14
Bulcsu Revesz,78.57,11,14
Daniel Womersley,60.0,6,10
Mohammed Shehab,50.0,3,6
Dean Young,50.0,7,14
Cheung Ka Wai,42.86,6,14
Duane Jones,42.86,6,14
Amir Sarkhosh,64.29,9,14
Michael Holt,42.86,6,14
Bai Yulu,42.86,6,14
Zhou Jinhao,40.0,2,5
Sunny Akani,75.0,6,8
Artemijs Zizins,69.23,9,13
Paul Deaville,50.0,5,10
Haris Tahir,61.54,8,13
Huang Jiahao,50.0,6,12
Wang Yuchen,23.08,3,13
Joshua Thomond,58.33,7,12
Antoni Kowalski,46.15,6,13
Robbie McGuigan,46.15,6,13
Farakh Ajaib,53.85,7,13
Simon Blackwell,53.85,7,13
Chris Totten,38.46,5,13
Mitchell Mann,61.54,8,13
Lei Peifan,30.77,4,13
Kreishh Gurbaxani,46.15,6,13
Jonas Luz,50.0,4,8
Joshua Cooper,57.14,4,7
Hatem Yassen,50.0,3,6
